τὸ πάθημα
τὸ μάθημα
ἀθάνατος
δοκέω
ὁ στρατός
ἄρχω (mit Gen.)
ἄρχομαι (mit Gen.)
τὸ πρᾶγμα
πράγματα παρέχω
ἡ γνώμη
ἀποφαίνω
ἕτερος
τοιόσδε
ὁ κύκλος
ἀνθρώπειος
ἐάω
ὁ αὐτός
εὐτυγέω
πρόκειμαι
πρῶτος
οἱ Πέρσαι
τὸ γράμμα
χρήσιμος / χρηστός
ἡ ἐπιστολή
ὁ νόμος
ῥᾴδιος
ἄξιος (mit Gen.)
λόγου ἄξιος
τὸ ἐγκώμιον
διά (mit Gen.)
διαλέγομαι
ὁ πόλεμος
ἡ εἰρήνη
ὁ χρησμός
τηρέω
βασιλικός
παρά (mit Gen.)
πᾶς
ὁμολογέω
ὅτε
ὁ/ἡ παῖς
κράτιστος
ἄριστος
ἐπί (mit Dat.)
