Hallo!
spanisch
ich heiße
ich komme aus
ich bin
aus / von
und
ein bisschen (von), ein wenig
Englisch
ich
auch
Deutsch
Wie geht's?
Galicisch
Französisch
Hauptstadt
du
Wie heißt du?
wie?
Woher kommst du?
woher?
du bist
Welche Sprachen sprichst du?
was?
Sprache
Beispiel
Los geht's!
sehr gut
sehr
gut
Wie geht es dir?
fantastisch
danke
er/sie
wer?
ist
Schau!
ein, eine
der Freund, die Freundin
Deutschland
sehr erfreut
sehr erfreut
Los!
bis später!
Auf Wiedersehen!
Guten Tag!
Guten Tag!
Guten Abend! / Gute Nacht!
mehr oder weniger
schlecht
furchtbar
der Mitschüler, die Mitschülerin
die Klasse
der kollege, die kollegin
die Arbeit
lernen
oder
arbeiten
quatschen, sich unterhalten, tratschen
in
der Platz
nein, nicht, kein, keine
hier
aber
jetzt
mein, meine
die Mutter
sein
stimmts?
ja / schon
das Gymnasium
noch nicht
noch
hey! / hör mal!
sprechen
nun
klar
der Vater
München
deshalb, daher
zu Hause
das Haus
toll, genial
schwierig
sich treffen
etwas üben
okay
die universität/uni
die Cafeteria
das hotel
die Firma, das Unternehmen
das Restaurant
der Supermarkt
die Diskothek
dein, deine
der Herr, die Frau
Marokko
Arabisch
etwas vorbereiten
die prüfung, der test
bedeuten
die Bibliothek
die Frage
wann?
englischtest
Englisch
morgen
etwas verstehen
der Text
etwas lesen
viel
so
etwas lernen
warum?
zusammen, gemeinsam
etwas bekommen / erhalten
die Nachricht
Gute Idee!
dann, also
etwas schreiben
das handy
der Moment
allein
jetzt hab ichs!
leben
in der Nähe
zuerst
danach / nachher
einverstanden
die Grammatik
der Wortschatz
der film
das Geschenk
der Buchstabe
Spanien
tanzen
etwas essen
sich ausruhen
etwas kaufen
etwas trinken
der Dialog
das Thema
die Übung
welcher?, welche?
die Telefonnummer
die zahl / nummer
das Telefon
etwas hochgehen
die Treppe
der Nachbar, die Nachbarin
neu
ernsthaft
Verwaltung und Finanzen
Informatik und Programmierung
etwas brauchen
die hilfe
mit
der Computer
das Programm
die Statistik
funktionieren
für, um zu
der Kaffee
meine telefonnummer ist / lautet
wie schreibt man...?
Man schreibt...
perfekt
Bis morgen!
gut
wir
etwas
die Tür
der Name
die Leute
das Viertel
die Familie
Ich bin ... Jahre alt.
ich habe
das Jahr
die geschwister
die Eltern
die Straße
der schüler, der oberstufenschüler
der schüler, die schülerin
die Oberstufe
sein, seine
der Bruder, die Schwester
Andalusien
die Berufsschule
die Schule
die berufliche Ausbildung
klein
heißt, sich nennen
schon
intelligent
Wie alt bist du?
wo?
mit wem?
der Nachname
die Adresse, die Adressen
Postleitzahl
die Stadt
die E-Mail
@
der Unterstrich _
der Bindestrich -
der Punkt .
das Foto
ich glaube, dass
dass
weil
die Pause
etwas wollen
Entschuldigung!
der Freund, die Freundin
Wie + adj./adv.!
hübsch
sympathisch
Paris
cool
etwas haben
mehr
wer?
dieser/diese ist, diese sind
mensch! hör mal!
ernst
streng
überhaupt nicht / wo denkst du hin?
in wirklichkeit / in wahrheit
lustig
fröhlich
ruhig
ziemlich
schüchtern
die Großeltern
der/die Künstler/in
kreativ
interessant
langweilig
der beste Freund, die beste Freundin
nett
faul
der/die Jugendliche, die Jugendlichen
unser, unsere
euer, eure
die Gruppe
das Internet
groß
sein / befinden
in der Nähe (von)
das Zentrum
laut
viel
das Leben
es gibt
die Gegend
wenig
der Verkehr
das Gebäude
alt
der Park
modern
das Sportzentrum
das Einkaufszentrum
das Geschäft
die Bäckerei
der Kiosk
etwas suchen
das fitnessstudio, gym
die Eisdiele
der Faden
neben
weit weg (von)
das Dorf
alt
schön
hässlich
0
1
2
3
4
5
6
7
8
90
10
11
12
13
14
15
20
30
40
50
60
70
80
90
100
Wie alt bist du?
Wann hast du Geburtstag?
wie lautet / was ist deine Telefonnummer
Wo wohnen sie?
Großvater
Vater
Sohn
Bruder
Onkel
Neffe
Cousin
Urgroßvater
schwiegersohn
Schwager
Enkel
Halbbruder
Stiefvater
Patenkind
Ehemann
schwiegertochter
wohin?
gehen
einladen
zu
heute
können
etwas ausprobieren / probieren
gratis
die kletterhalle
die werkstatt, workshop
die Slackline
das Schwimmbad
kosten
der Euro
das Kulturzentrum
die Präsentation
das Buch
das Theater
das Kino
das Museum
