Schule
hier
sitzen
Freundin
mein
sein
Schülerin
gut
immer
und
Freund
aber, sondern
Schüler
schlecht
froh
oft
lachen
warum?
jetzt, nun
nicht
Aufgabe
groß
deshalb, daher
sich freuen
lange
arbeiten
gern
fragen
antworten
dann, damals
schreien
loben
was?
lehren
wo?
schon
erwarten
eintreten
sei/seid gegrüßt!
Lehrer
lieben
nicht nur - sondern auch
auch, sogar
Zunge, Sprache
lateinisch
griechisch
wie
schön
Wort
mit sich, bei sich
denken
Bub
Mädchen
weil
wer?
haben
anschauen, betrachten
Auge
dein
ermahnen
erzürnt, zornig
Rom
durch
Straße
gehen, spazieren
viele
viel
Gebäude
sehen
und
berühmt
zeigen
Schauspiel
dort
Statue
Mann
Fragepartikel (unübersetzt)
sicherlich
Marktplatz
römisch
Tempel
so
Gott
Göttin
vor
nach, hinter
nur
zu, an, bei
von (..herab), über
mit
ohne
Frau
Freude
erzählen
Menge, Vorrat
aus, von
Erde, Land
fremd
kämpfen
töten
gefallen
neu
ein anderer
der eine - der andere
Schwert
schließlich
besiegen, übertreffen
wenn
gut
Leben
schenken
für
sein, ihr
von 
vor
und nicht
mir / dir / sich
mich / dich / sich
erfreuen
nicht?
die Römer
ich / du
die Griechen
so
er/sie/es sagt
etwa?
euer, eure
auch
uns / euch
unser, unsere
in, auf
Sinn, Geist; Mut
vorhaben, im Sinne haben
wir; uns / ihr; euch
wer von uns / euch
mit uns / euch
in, nach; gegen
bleiben
eilen
Wasser
wieder(um)
es ist erlaubt
keineswegs
Muße, Freizeit
unter (… hin)
unter
erschrecken
Tochter
dennoch
zwei
Sohn
klein
wenig später
später
sich nähern
Kinder
aber
dann
tragen, bringen
Jahr
schon
Stadt
erbauen
herrschen, regieren
können
sechs
zwölf
den Göttern
die Götter
lieb, angenehm; dankbar
Hilfe
einige
großartig
jenseits von, über
kommen
wohnen
bei
lesen
Plan, Beschluss; Rat
fassen, ergreifen, fangen
Bote; Nachricht
Volk
schicken
sagen
bereiten, erwerben
hören
während
plötzlich
rauben
nach Hause
Waffen
unterstützen, helfen
verlassen, zurücklassen
zu Hause
Unrecht
ertragen
Krieg
(Krieg) führen
zwischen
eilen; kämpfen
es ist notwendig
denn
drei
Stunde
tun, machen
weder - noch
schlafen
allein
zwei
eins
der erste
Lager
sich widersetzen
begehen, beginnen
wenn nicht
gehorchen
Sklave
nicht mehr
Schuld
dennoch
kein
Beispiel
Familie
vertreiben; verjagen
fürchten
die Gallier (=Kelten)
Fluss
Soldat
flüchten
besetzen
zerstören
bestürmen, belagern
erobern
Nacht
beschließen, festsetzen
heimlich
besteigen, hinaufsteigen
Mensch
Hund
Juno
heilig, geweiht
obwohl
frei sein (von …), entbehren
Stimme
Geschrei, Lärm
sofort, sogleich
die übrigen
retten, bewahren
Ruhm, Ehre
Name
erhalten, aufnehmen
Feldherr; Kaiser
Tapferkeit, Tugend
Truppen
führen
Schiff
Meer
wagen
verlieren
Schlacht
siegen, besiegen
Teil
Furcht, Angst
nicht einmal ...
abhalten, (ver)hindern
töten
Tor, Tür
Stadt
der höchste; sehr hoch
Ehre
zu etwas machen
Heimat
Friede
Feind
befreien (von)
Jupiter
wissen
dieser, -e, -es
rufen
befehlen
Berg
König
Küste
gehorchen
dessen m/deren f
deren
Befehl
ausführen , beenden
gewohnt sein , pflegen
der-/die-/dasselbe
Ort/Stelle
Mädchen,Jungfrau
spielen
Stier
Menge
erblicken
Schönheit
zuerst
berühren
Körper
bald
Insel
Vater
suchen; (+ex/a) fragen
Eltern
welcher/e/es;der,die,das
nichts
nichts außer, nur
müssen
Kopf
Gefahr
töten
arm,elend
segeln
junger Mann
unterstützen
niemand
finden, erfinden
Sorge
wie
der mittlere; in der Mitte
mitten im Labyrinth
bereit
und
Liebe
begehren
aufsuchen, anstreben
jemanden bitten
geben
Hand
Kunstwerk
Sache
Kunst
Fall; Zufall
verbinden
Tag
Werk
Mittag
Sonne
Himmel
Furcht, Angst
schließlich
missachten
lösen, auflösen
fallen
tot, gestorben
dieser, diese, dieses
Mahl, Mahlzeit
einladen
ein gewisser; pl.: einige
Untat
Klugheit
erkennen, einsehen
zurückgeben
Strafe
büßen
stehen
Baum
Durst
Hunger
wenn, sooft, als
trinken
ruchlos, schlecht, böse
Verbrechen
Tod
gegen
Natur
Geschlecht; Art
bestrafen
Fels
Kraft, Gewalt
Kräfte
fast, beinahe
aufder Spitze des Berges
jener, jene, jenes
sowohl … als auch
Tier
Lied
singen
einst
Ehe
heiraten
Schmerz
weinen
trauern
selbst
Königin
bewegen
nachdem
alle; alles (n)
vergeblich
aufhören, ablassen
sich niedersetzen
unbekannt
Bedingung
Gattin
Weg,Reise
reisen,marschieren
wenden
Haus
lang
Licht
Volk
vornehm,adelig
geboren,abstammend
tapfer
wie
Gladiator
grausam
verschieden
lernen
schwierig
Heer
kurz
Zeit
tun,verbringen
trainieren
schnell
Feld,Gebiete
weit,breit
aufnehmen
sich zurückziehen
zusammenhalten
Begierde,Gier
veranlasst
Senat
erkennen,erfahren
grausam, wild
Kreuz
Buchstabe; Pl: Wissenschaft; Brief
junger Mann
Redner
Staat (wörtl.: öffentliche Sache)
Gerechtigkeit
Bewohner, Einwohner
Provinz
Reichtum
alt
tragen; bringen; ertragen
Adel
Recht
Rede
Urteil; Meinung
freiwillig
Exil, Verbannung
gehen
 
(ver)sammeln; zwingen
Konsul
Senator
 
hinausgehen
befehlen; lassen (+ Inf)
Gefährte
ergreifen; erfassen (auch geistig)
erfüllen, versehen (mit)
bevor
hingehen; sich wenden an; angreifen
Gaius Julius Cäsar
klug
als
Stamm; Gemeinde; Staat
Gallien
ausliefern; überliefern
Freundschaft
Legion (4000 – 600 Mann)
wenige (m+f); alles (n)
ganz
aber
Ansehen
Sg.: jeder, ganz
alle (m+f); alles (n)
Schlacht
dieser, diese, dieses
umzingeln
hinkommen, ankommen
Getreide
Versammlung
ehrenhaft, ehrenvoll
Sklaverei
Alter; Zeitalter, Zeit
oder
sobald
der/die/das frühere
heftig
beginnen
Macht
der größte
Diktator
ununterbrochen
Bürger
überreden, überzeugen
Ich überrede dich
Sitte, Art
Gesetz 
Freiheit
besser
