schola
hic
sedeo
amica
meus
sum
discipula
bonus
semper
et
amicus
sed
discipulus
malus
laetus
saepe
rideo
cur?
nunc
non
pensum
magnus
itaque
gaudeo
diu
laboro
libenter
interrogo
respondeo
tum
clamo
laudo
quid?
doceo
ubi?
iam
exspecto
intro
salve!/salvete!
magister
amo
non solum - sed etiam
etiam
lingua
Latinus
Graecus
quam
pulcher
verbum
secum
cogito
puer
puella
quod
quis?
habeo
specto
oculus
tuus
moneo
iratus
Roma
per
via
ambulo
multi
multum
aedificium
video
-que
clarus
monstro
spectaculum
ibi
statua
vir
-ne
certe
forum
Romanus
templum
tam
deus
dea
ante
post
solum
ad
de
cum
sine
femina
gaudium
narro
copia
e/ex
terra
alienus
pugno
neco
placeo
novus
alius
alius - alius
gladius
postremo
supero
si 
bene
vita
dono 1
pro
suus
a/ab
prae
neque
mihi / tibi / sibi
me / te / se
delecto
nonne?
Romani
ego/tu
Graeci
ita
inquit
num?
vester
quoque
nobis/vobis
noster
in
animus
in animo habere
nos/vos
quis nostrum/vestrum
nobiscum/vobiscum
in
maneo
propero
aqua
iterum
licet
minime
otium
sub
sub
terreo
filia
tamen
duo
filius
parvus
paulo post
post
appropinquo
liberi
autem
deinde
porto
annus
iam
oppidum
aedifico
regno
possum
sex
duodecim
dis = deis
di = dei
gratus
auxilium
nonnulli
magnificus
trans
venio
habito
apud
lego
consilium
capio
nuntius
populus
mitto
dico
paro
audio
dum
subito
rapio
domum
arma
adiuvo
relinquo
domi
iniuria
tolero
bellum
(bellum) gero
inter
contendo
necesse est
nam
tres
hora
facio
neque - neque
dormio
solus
duo
unus
primus
castra
resisto
committo
nisi
pareo
servus
non iam
culpa
tamen
nullus
exemplum
familia
expello
timeo
Galli
flumen
miles
fugio
occupo
deleo
oppugno
expugno
nox
constituo
clam
ascendo
homo
canis
Iuno
sacer
quamquam
careo
vox
clamor
statim
ceteri
servo
gloria
nomen
accipio
imperator
virtus
copiae
duco
navis
mare
audeo
amitto
pugna
vinco
pars
timor
ne … quidem
prohibeo
occido
porta
urbs
summus
honor
facio (+ 2x Akk.)
patria
pax
hostis
libero
Iuppiter
scio
is
voco
impero
mons
rex
litus
pareo
eius
eorum
iussum
conficio
soleo
idem
locus
virgo
ludo
taurus
multitudo
conspicio
pulchritudo
primo
tango
corpus
mox
insula
pater
quaero
parentes
qui
nihil
nihil nisi
debeo
caput
periculum
interficio
miser
navigo
adulescens
iuvo
nemo
invenio
cura
quomodo
medius
medio in labyrintho
paratus
atque(=ac)
amor
cupio
peto
petere a
do
manus
artificium
res
ars
casus
coniungo
dies
opus
meridies
sol
caelum
metus
denique
neglego
solvo
cado
mortuus
hic, haec, hoc
cena
invito
quidam
facinus
prudentia
intellego
reddo
poena
poenas solvere
sto 1
arbor
sitis
fames
cum
bibo
improbus
scelus
mors
contra
natura
genus
punio
saxum
vis
pl.: vires, virium
paene
summo in monte
ille, illa, illud
et … et
animal
carmen
cano
olim
matrimonium
in m. ducere
dolor
fleo
doleo
ipse
regina
moveo
postquam
cuncti
frustra
desino
consido
ignotus
condicio
uxor
iter  
iter facere
verto
domus
longus
lux
natio
nobilis
natus
fortis
ut
gladiator
crudelis
varius
disco
difficilis
exercitus
brevis
tempus
ago
exerceo
celer
ager
latus
recipio
se recipere
contineo
cupiditas
adductus
senatus
cognosco
atrox
crux
littera
iuvenis
orator
res publica
iustitia
incola
provincia
divitae
antiquus
fero
nobilitas
ius
oratio
iudicium
sponte mea (tua/sua)
exilium
eo
studeo
cogo
consul
senator
fere
exeo
iubeo
socius
comprehendo
afficio
priusquam
adeo
C. Iulius Caesar
prudens
quam
civitas
Gallia
trado
amicita
legio
pauci
totus
at
auctoritas
omnis
Pl.: omnes
proelium
qui
circumvenio
advenio
frumentum
concilium
honestus
servitus
aetas
aut
ubi
prior
acer
incipio
potestas
maximus
dictator
perpetuus
civis
persuadeo
persuadeo tibi
mos
lex
libertas
melior
caedes
vivo
facilis
plurimi
statuo
futurus
adsum
quidem
iste
defendo
vulnus
ultimus
convenio
mulier
finis
fines
donum
regnum
augeo
mihi gaudio est
ingens
antea
clades
classis
animadverto
cedo
claudo
custos
pono
enim (nachgestellt)
aufero
serva
praeter
discordia
controversia
iacio
Venus
certo
iudico
deligo
praemium
praeterea
dives
fortitudo
quia
Graecia
decerno
eo
fides
mando
occasio
iungo
maritus
sive … sive
eiusmodi
Troia
ira
moenia
altus
Troiani
abstineo
imperium
obtineo
incendo
puto
intersum
complures
caedo
depono
equus
traho
magis
preces
aurum
frater
Apollo
Troianus
Ulixes
etsi
firmus
numquam
includo
appareo
intra
faveo
arx
victoria
vinum
celebro
universi
interea
redeo
aperio
flamma
consumo
volo
nolo
verus
promitto
spero
praebeo
scientia
usus
usui esse
veritas
credo
inde
neglego
ardeo
taceo
intereo
erro
tollo
oro
poeta
pervenio
ineo
exitus
dulcis
forte
postulo
gratia
gratias agere
tandem
plenus
ignis
sumo
frons
laedo
vero
constat
posterus
diligens
prosum
incendium 
princeps
gravis
exsisto
auctor
vasto
numerus
privatus
publicus
fama
magnitudo
orno
postea
appello
cupidus 
condo 3
usque ad
iussu
Christiani
crimen
accuso
quasi
sanctus
cultus
dubito
commoveo
fuga
proximus
repente
obviam
videor
dominus
quo
vado
dicitur
lacrima
refero
sic
salus
mundus 
dignus
divido
gens
traduco
adhuc
felix
fortuna
eques
campus
aestas
desum
fessus
vix
ullus
spes
rogo
divinus
ecce
miraculum
accido
victor
civilis
metuo
oraculum
extra
uterque
notus
signum
scribo
prope
pons
plebs
causa
qua de causa
consulo
nuntio
hodie
adduco
studium
premo
pello
beneficium
hiems
pauper
vestis
patior
misericordia
nudus
reliquus
similis
militaris
alter
alter - alter
mens
sanus
queror
humanus
possideo
sequor
tego
loquor
vereor
quidquid
hortor
servio
fruor
proficiscor
silva
fons 
conor
umquam
audeo
cresco
auris
muto
os
pes
propter
revertor
arbitror
gaudeo
tutus
fore
utor
officium
fungor
soleo
dens 
forma
ave!
valde
talis
qualis
sentio
eripio
polliceor
turpis
factum
mensis
labor
ergo
abeo
nascor
odium
mater
nescio
concedo
invitus
vobis invitis
cottidie 
noctu
lumen
dux
cursus
rectus
nonnumquam
absum
nauta
epistula
quantus
aliqui
aliquis
portus
utinam
extremus
ratio
aut - aut
morior
adventus
loca
incolo
comes
nosco
reditus
voluntas
quicumque
opto
nego
malum
experior
fio
sedes
regius
ops
opes
addo
beatus
panis
cibus
vel
odi
sapiens
censeo
invidia
efficio
visito
veto
adspicio
finio
orior
vitium
ne
vultus
admiror
ubique
inimicus
perfero
immortalis
sermo
quisquam
potens 
igitur
quoniam
cum 
argentum
ut
demonstro
supra
satis
quondam
damno
capitis damnare
obses
ne 
permitto
quam 
quam celerrime
transeo
se 
absens 
patre absente
senex
iustus
ostendo
mihi persuasum est
ob
dubium
rego
num
diligentia
ne
timeo, ne …
confido
legatio
singuli
certus
ignoro
legatus
aggredior
memini
memini
habeo
habeo te amicum
disputo
exploro
philosophus
opera
operam dare
ne quis/ne quid
tantus
pecunia
liber
fabula
causa
saluto
si quis/si quid
ingenium
initium
quisque
confero
se conferre
superbia
memoria
in memoriam
monumentum
maiores
pietas
religio
unde
affero
multo
minus
voluptas
curro
sententia
iudex
vacuus
Germanicus
falsus
Germania
situs
nuper
magistratus
interim
haudquaquam
commodum
quietus
